Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 158.0 137 220 460 111 0 NA NA 219 294 668 171 0 NA NA 1699 272 1438 215 428 NA NA 1828 324 1671 412 520 NA NA
1710108000.0 158.1 NA 265 480 0 NA NA NA NA 357 688 0 NA NA NA NA 384 1490 431 NA NA NA NA 500 1848 541 NA NA NA
1710108000.0 158.2 NA 237 466 0 NA NA NA NA 360 680 0 NA NA NA NA 383 1434 420 NA NA NA NA 582 1821 505 NA NA NA
1710108000.0 158.3 NA 261 483 0 NA NA NA NA 364 684 0 NA NA NA NA 386 1473 428 NA NA NA NA 748 1748 484 NA NA NA
1710108000.0 159.0 98 218 436 111 0 NA NA 218 296 647 169 0 NA NA 1933 259 1216 219 409 NA NA 2475 318 1496 573 479 NA NA
1710108000.0 2017.4 454 0 187 157 NA NA NA 625 0 278 244 NA NA NA 843 248 545 351 NA NA NA 913 460 712 411 NA NA NA
1710108000.0 2017.7 472 0 184 156 NA NA NA 606 0 270 244 NA NA NA 829 253 551 355 NA NA NA 881 519 791 477 NA NA NA
1710108000.0 2018.1 487 0 187 156 NA NA NA 626 0 276 251 NA NA NA 916 264 569 374 NA NA NA 968 543 1001 466 NA NA NA
1710108000.0 2018.11 414 0 190 164 NA NA NA 654 0 272 244 NA NA NA 1113 261 667 390 NA NA NA 1773 490 712 520 NA NA NA
1710108000.0 2018.4 483 0 187 160 NA NA NA 615 0 271 251 NA NA NA 851 252 539 373 NA NA NA 901 470 704 522 NA NA NA
1710108000.0 20834.0 NA 598 542 0 216 NA NA NA 768 737 0 300 NA NA NA 1622 2568 510 704 NA NA NA 1355 2632 684 1144 NA NA
1710108000.0 22834.0 175 540 545 0 207 NA NA 260 689 735 0 296 NA NA 3818 1226 2153 447 572 NA NA 1989 795 2358 764 956 NA NA
