Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710108000.0 2018.8 792 NA NA NA NA NA 1171 NA NA NA NA NA 619 NA NA NA NA NA 573 NA NA NA NA NA
1710108000.0 20900.0 NA 430 435 0 166 NA NA 590 613 0 247 NA NA 1435 1820 418 479 NA NA 1157 1855 530 792 NA
1710108000.0 4.28 NA 85 314 0 NA NA NA 184 499 0 NA NA NA 470 6939 3215 NA NA NA 1319 5460 3298 NA NA
1710108000.0 500199.0 259 NA NA NA NA NA 408 NA NA NA NA NA 1135 NA NA NA NA NA 1108 NA NA NA NA NA
1710108000.0 503.0 47 0 NA NA NA NA 129 0 NA NA NA NA 6122 367 NA NA NA NA 3337 429 NA NA NA NA
1710108000.0 504.0 49 0 NA NA NA NA 132 0 NA NA NA NA 615 363 NA NA NA NA 599 431 NA NA NA NA
1710108000.0 505.0 48 0 NA NA NA NA 134 0 NA NA NA NA 601 354 NA NA NA NA 573 420 NA NA NA NA
1710108000.0 506.0 56 0 NA NA NA NA 134 0 NA NA NA NA 590 350 NA NA NA NA 562 403 NA NA NA NA
1710108000.0 507.0 46 0 NA NA NA NA 125 0 NA NA NA NA 3385 406 NA NA NA NA 1980 480 NA NA NA NA
1710108000.0 508.0 45 0 NA NA NA NA 130 0 NA NA NA NA 636 357 NA NA NA NA 630 420 NA NA NA NA
1710108000.0 509.0 45 0 NA NA NA NA 125 0 NA NA NA NA 558 395 NA NA NA NA 571 470 NA NA NA NA
1710108000.0 510.0 48 0 NA NA NA NA 131 0 NA NA NA NA 6225 347 NA NA NA NA 3469 409 NA NA NA NA
1710108000.0 531.0 137 0 NA NA NA NA 238 0 NA NA NA NA 202 152 NA NA NA NA 303 257 NA NA NA NA
1710108000.0 541.0 50 0 NA NA NA NA 130 0 NA NA NA NA 531 393 NA NA NA NA 616 469 NA NA NA NA
1710108000.0 545.0 43 0 NA NA NA NA 128 0 NA NA NA NA 583 340 NA NA NA NA 654 395 NA NA NA NA
1710108000.0 546.0 49 67 NA NA NA NA 134 159 NA NA NA NA 603 603 NA NA NA NA 593 663 NA NA NA NA
1710108000.0 560.0 49 0 NA NA NA NA 134 0 NA NA NA NA 666 394 NA NA NA NA 643 468 NA NA NA NA
1710108000.0 561.0 51 0 NA NA NA NA 134 0 NA NA NA NA 671 349 NA NA NA NA 656 418 NA NA NA NA
1710108000.0 570.0 43 0 NA NA NA NA 125 0 NA NA NA NA 756 420 NA NA NA NA 640 482 NA NA NA NA
1710108000.0 572.0 42 0 NA NA NA NA 121 0 NA NA NA NA 715 367 NA NA NA NA 612 422 NA NA NA NA
1710108000.0 575.0 46 0 NA NA NA NA 119 0 NA NA NA NA 877 413 NA NA NA NA 666 486 NA NA NA NA
1710108000.0 576.0 49 0 NA NA NA NA 121 0 NA NA NA NA 642 352 NA NA NA NA 606 415 NA NA NA NA
1710108000.0 577.0 49 0 NA NA NA NA 121 0 NA NA NA NA 603 403 NA NA NA NA 599 469 NA NA NA NA
1710108000.0 7.0 69 101 146 53 0 NA 191 203 285 138 0 NA 1631 508 979 401 555 NA 1548 541 951 476 623 NA
