Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1710025200.0 24834.103 NA 615 559 0 207 NA NA 797 771 0 308 NA NA 2670 2824 503 1087 NA NA 1968 2757 794 1197 NA
1710025200.0 24834.21 NA 417 323 234 NA NA NA 641 489 337 NA NA NA 1766 1405 1247 NA NA NA 1403 1379 1141 NA NA
1710025200.0 24834.911 182 585 560 0 200 NA 301 793 771 0 305 NA 8138 4875 5084 1389 546 NA 3937 3085 3051 1491 717 NA
1710025200.0 24896.0 NA 579 490 0 195 NA NA 744 679 0 307 NA NA 1877 2223 461 534 NA NA 2045 2378 586 766 NA
1710025200.0 2500.002 NA 272 0 NA NA NA NA 502 0 NA NA NA NA 20579 147 NA NA NA NA 6997 278 NA NA NA
1710025200.0 2500.01 NA 234 0 NA NA NA NA 367 0 NA NA NA NA 10350 161 NA NA NA NA 4480 636 NA NA NA
1710025200.0 2500.011 NA 252 0 NA NA NA NA 396 0 NA NA NA NA 19111 140 NA NA NA NA 6242 292 NA NA NA
1710025200.0 2500.2 NA 198 0 NA NA NA NA 328 0 NA NA NA NA 16250 149 NA NA NA NA 5756 494 NA NA NA
1710025200.0 2500.21 NA 193 0 NA NA NA NA 389 0 NA NA NA NA 23354 148 NA NA NA NA 8252 251 NA NA NA
1710025200.0 2500.3 NA 192 0 NA NA NA NA 319 0 NA NA NA NA 7871 138 NA NA NA NA 4982 295 NA NA NA
1710025200.0 2500.31 NA 196 0 NA NA NA NA 458 0 NA NA NA NA 5192 154 NA NA NA NA 5316 531 NA NA NA
1710025200.0 2500.4 NA 192 0 NA NA NA NA 320 0 NA NA NA NA 7928 135 NA NA NA NA 5775 197 NA NA NA
1710025200.0 250199.17 372 NA NA NA NA NA 577 NA NA NA NA NA 1919 NA NA NA NA NA 1322 NA NA NA NA NA
1710025200.0 250204.17 NA 506 585 0 NA NA NA 686 838 0 NA NA NA 6879 2503 419 NA NA NA 2890 2339 487 NA NA
