Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1710025200.0 134.706 NA 60 269 0 NA NA NA NA NA 81 307 0 NA NA NA NA NA 129 4413 339 NA NA NA NA NA 163 5767 359 NA NA NA NA
1710025200.0 134.707 NA 59 261 0 NA NA NA NA NA 81 300 0 NA NA NA NA NA 124 3872 334 NA NA NA NA NA 133 4008 360 NA NA NA NA
1710025200.0 134.708 NA 58 260 0 NA NA NA NA NA 79 306 0 NA NA NA NA NA 123 3712 340 NA NA NA NA NA 133 3879 357 NA NA NA NA
1710025200.0 134.709 NA 59 257 0 NA NA NA NA NA 82 309 0 NA NA NA NA NA 131 3950 335 NA NA NA NA NA 145 4154 351 NA NA NA NA
1710025200.0 134.71 NA 53 257 0 NA NA NA NA NA 74 298 0 NA NA NA NA NA 108 2621 325 NA NA NA NA NA 118 2725 340 NA NA NA NA
1710025200.0 134.801 NA 57 262 0 NA NA NA NA NA 79 303 0 NA NA NA NA NA 120 2808 324 NA NA NA NA NA 132 2927 341 NA NA NA NA
1710025200.0 134.803 NA 57 264 0 NA NA NA NA NA 82 303 0 NA NA NA NA NA 157 4628 317 NA NA NA NA NA 191 5999 339 NA NA NA NA
1710025200.0 134.812 NA 55 254 0 NA NA NA NA NA 77 297 0 NA NA NA NA NA 121 2790 312 NA NA NA NA NA 133 2913 329 NA NA NA NA
1710025200.0 134.901 NA 56 258 0 NA NA NA NA NA 79 294 0 NA NA NA NA NA 121 2872 314 NA NA NA NA NA 137 3024 332 NA NA NA NA
1710025200.0 134.902 NA 58 251 0 NA NA NA NA NA 83 297 0 NA NA NA NA NA 140 3759 321 NA NA NA NA NA 158 3924 344 NA NA NA NA
1710025200.0 134.903 NA 61 261 0 NA NA NA NA NA 83 293 0 NA NA NA NA NA 136 3438 326 NA NA NA NA NA 147 3559 342 NA NA NA NA
1710025200.0 134.904 NA 58 261 0 NA NA NA NA NA 81 304 0 NA NA NA NA NA 144 4110 329 NA NA NA NA NA 160 4239 356 NA NA NA NA
1710025200.0 134.905 NA 59 261 0 NA NA NA NA NA 81 298 0 NA NA NA NA NA 136 3421 328 NA NA NA NA NA 150 3578 346 NA NA NA NA
