Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710025200.0 1.0 140 165 252 NA NA 288 260 422 NA NA 1385 318 898 NA NA 1227 579 1391 NA NA
1710025200.0 101.0 167 NA NA NA NA 316 NA NA NA NA 763 NA NA NA NA 781 NA NA NA NA
1710025200.0 102.0 165 NA NA NA NA 296 NA NA NA NA 704 NA NA NA NA 817 NA NA NA NA
1710025200.0 1020.0 NA 80 73 0 78 NA 177 166 0 175 NA 176 131 70 170 NA 584 527 402 271
1710025200.0 1041.0 NA 112 83 0 NA NA 206 164 0 NA NA 242 142 72 NA NA 554 353 175 NA
1710025200.0 1042.0 NA 113 78 0 NA NA 207 160 0 NA NA 372 150 74 NA NA 1096 535 286 NA
1710025200.0 1045.0 NA 94 91 0 NA NA 189 188 0 NA NA 274 175 70 NA NA 733 390 294 NA
1710025200.0 105.0 143 164 80 NA NA 286 261 157 NA NA 1358 319 129 NA NA 1408 646 232 NA NA
1710025200.0 11634.1 NA 256 269 0 NA NA 376 427 0 NA NA 452 667 393 NA NA 830 1061 615 NA
1710025200.0 11634.505 NA 263 157 0 NA NA 380 320 0 NA NA 443 476 224 NA NA 762 1024 412 NA
1710025200.0 11634.511 NA 253 119 0 NA NA 372 230 0 NA NA 442 343 161 NA NA 472 562 424 NA
1710025200.0 11634.521 NA 263 118 0 NA NA 367 210 0 NA NA 436 316 169 NA NA 700 621 375 NA
1710025200.0 123.1 356 NA NA NA NA 570 NA NA NA NA 862 NA NA NA NA 1200 NA NA NA NA
1710025200.0 123.2 366 NA NA NA NA 556 NA NA NA NA 988 NA NA NA NA 1224 NA NA NA NA
1710025200.0 123.3 309 NA NA NA NA 437 NA NA NA NA 739 NA NA NA NA 1222 NA NA NA NA
1710025200.0 124.1 345 NA NA NA NA 511 NA NA NA NA 745 NA NA NA NA 1025 NA NA NA NA
1710025200.0 124.2 350 NA NA NA NA 546 NA NA NA NA 804 NA NA NA NA 1007 NA NA NA NA
1710025200.0 124.4 347 NA NA NA NA 512 NA NA NA NA 755 NA NA NA NA 1237 NA NA NA NA
1710025200.0 124.5 345 NA NA NA NA 518 NA NA NA NA 770 NA NA NA NA 1172 NA NA NA NA
1710025200.0 124.6 313 NA NA NA NA 436 NA NA NA NA 753 NA NA NA NA 1208 NA NA NA NA
1710025200.0 1307.0 NA 196 236 93 0 NA 311 383 174 0 NA 300 537 156 203 NA 299 962 240 375
1710025200.0 1325.1 NA 213 231 0 NA NA 327 395 0 NA NA 358 611 324 NA NA 429 1252 546 NA
1710025200.0 1325.3 NA 213 236 0 NA NA 328 389 0 NA NA 367 572 314 NA NA 740 1515 382 NA
1710025200.0 135.12 379 0 180 153 NA 575 0 290 258 NA 855 230 591 347 NA 1410 440 901 526 NA
1710025200.0 135.13 382 0 NA NA NA 581 0 NA NA NA 860 293 NA NA NA 1030 390 NA NA NA
1710025200.0 135.7 370 0 179 146 NA 593 0 291 253 NA 842 223 567 349 NA 1386 487 1039 642 NA
1710025200.0 135.8 181 NA NA NA NA 301 NA NA NA NA 700 NA NA NA NA 590 NA NA NA NA
1710025200.0 136.76111 NA 240 0 NA NA NA 377 0 NA NA NA 1724 157 NA NA NA 1929 371 NA NA
1710025200.0 136.7801 NA 176 0 NA NA NA 278 0 NA NA NA 494 168 NA NA NA 856 264 NA NA
1710025200.0 136.8885 NA 178 142 0 NA NA 275 306 0 NA NA 362 516 148 NA NA 933 1225 345 NA
1710025200.0 136.9 NA 250 219 305 200 NA 410 361 492 300 NA 6382 1065 1360 841 NA 10072 1699 2192 1374
1710025200.0 138.1 NA 293 139 0 NA NA 500 258 0 NA NA 1070 243 271 NA NA 1217 414 352 NA
1710025200.0 138.3 NA 68 478 0 NA NA 114 709 0 NA NA 54 55690 320 NA NA 230 23880 443 NA
1710025200.0 138.4 NA 383 0 NA NA NA 606 0 NA NA NA 1335 356 NA NA NA 1887 559 NA NA
1710025200.0 138.5 NA 416 200 0 NA NA 646 328 0 NA NA 1581 374 347 NA NA 2008 784 486 NA
1710025200.0 140.065511 NA 178 123 0 NA NA 283 226 0 NA NA 562 476 167 NA NA 759 967 492 NA
1710025200.0 140.54 NA 388 0 NA NA NA 658 0 NA NA NA 1826 273 NA NA NA 2441 350 NA NA
1710025200.0 140.57 NA 489 0 NA NA NA 752 0 NA NA NA 2178 319 NA NA NA 2294 436 NA NA
1710025200.0 140.6 NA 383 0 NA NA NA 641 0 NA NA NA 1600 294 NA NA NA 1877 491 NA NA
1710025200.0 140.61 NA 377 0 NA NA NA 640 0 NA NA NA 1628 302 NA NA NA 1519 399 NA NA
1710025200.0 14040.303 214 NA NA NA NA 343 NA NA NA NA 2812 NA NA NA NA 1771 NA NA NA NA
