Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710108000.0 2017.13 450 0 NA NA NA 654 0 NA NA NA 2186 1234 NA NA NA 1593 1317 NA NA NA
1710108000.0 2017.8 166 NA NA NA NA 312 NA NA NA NA 1767 NA NA NA NA 1018 NA NA NA NA
1710108000.0 2018.13 447 0 NA NA NA 641 0 NA NA NA 2506 1299 NA NA NA 2071 1378 NA NA NA
1710108000.0 2018.8 167 NA NA NA NA 317 NA NA NA NA 1849 NA NA NA NA 1097 NA NA NA NA
1710108000.0 22834.0 123 482 512 0 160 261 709 743 0 296 12856 3020 6502 1078 1211 6179 1610 5253 1144 1247
1710108000.0 2500.0 NA 183 0 NA NA NA 365 0 NA NA NA 63913 305 NA NA NA 18012 351 NA NA
1710108000.0 2500.001 NA 231 0 NA NA NA 536 0 NA NA NA 71189 301 NA NA NA 20299 342 NA NA
1710108000.0 2500.1 NA 181 0 NA NA NA 348 0 NA NA NA 64339 314 NA NA NA 17943 368 NA NA
1710108000.0 2500.21 NA 201 0 NA NA NA 413 0 NA NA NA 74643 281 NA NA NA 20956 322 NA NA
1710108000.0 2500.311 NA 204 0 NA NA NA 355 0 NA NA NA 3449 520 NA NA NA 2450 610 NA NA
1710108000.0 2500.312 NA 123 NA NA NA NA 257 NA NA NA NA 2324 NA NA NA NA 1243 NA NA NA
1710108000.0 2500.313 NA 60 NA NA NA NA 183 NA NA NA NA 638 NA NA NA NA 668 NA NA NA
1710108000.0 2500.314 NA 174 NA NA NA NA 337 NA NA NA NA 2346 NA NA NA NA 1366 NA NA NA
1710108000.0 2500.315 NA 243 NA NA NA NA 379 NA NA NA NA 966 NA NA NA NA 733 NA NA NA
1710108000.0 2500.401 NA 140 NA NA NA NA 297 NA NA NA NA 3353 NA NA NA NA 1732 NA NA NA
1710108000.0 2500.402 NA 159 NA NA NA NA 327 NA NA NA NA 3768 NA NA NA NA 2218 NA NA NA
1710108000.0 2500.5 NA 82 NA NA NA NA 235 NA NA NA NA 621 NA NA NA NA 591 NA NA NA
1710108000.0 2500.51 92 NA NA NA NA 234 NA NA NA NA 887 NA NA NA NA 782 NA NA NA NA
1710108000.0 250199.0 324 NA NA NA NA 614 NA NA NA NA 4987 NA NA NA NA 2527 NA NA NA NA
1710108000.0 250199.17 334 NA NA NA NA 585 NA NA NA NA 4568 NA NA NA NA 2305 NA NA NA NA
1710108000.0 250399.0 237 NA NA NA NA 432 NA NA NA NA 1693 NA NA NA NA 1094 NA NA NA NA
1710108000.0 250399.17 291 NA NA NA NA 502 NA NA NA NA 2441 NA NA NA NA 1358 NA NA NA NA
1710108000.0 250399.18 285 NA NA NA NA 522 NA NA NA NA 2560 NA NA NA NA 1445 NA NA NA NA
1710108000.0 25211.0 0 NA NA NA NA 0 NA NA NA NA 1243 NA NA NA NA 1106 NA NA NA NA
1710108000.0 25213.0 0 NA NA NA NA 0 NA NA NA NA 1265 NA NA NA NA 1112 NA NA NA NA
1710108000.0 500199.0 231 NA NA NA NA 460 NA NA NA NA 2745 NA NA NA NA 1713 NA NA NA NA
1710108000.0 503.0 49 0 NA NA NA 136 0 NA NA NA 5784 479 NA NA NA 3164 560 NA NA NA
1710108000.0 504.0 72 0 NA NA NA 143 0 NA NA NA 550 464 NA NA NA 523 537 NA NA NA
1710108000.0 505.0 58 0 NA NA NA 138 0 NA NA NA 623 457 NA NA NA 574 512 NA NA NA
1710108000.0 506.0 64 0 NA NA NA 143 0 NA NA NA 588 450 NA NA NA 580 514 NA NA NA
1710108000.0 508.0 57 0 NA NA NA 138 0 NA NA NA 548 458 NA NA NA 527 517 NA NA NA
1710108000.0 509.0 47 0 NA NA NA 132 0 NA NA NA 563 404 NA NA NA 574 455 NA NA NA
1710108000.0 510.0 47 0 NA NA NA 138 0 NA NA NA 5927 481 NA NA NA 3256 553 NA NA NA
1710108000.0 531.0 59 0 NA NA NA 245 0 NA NA NA 516 391 NA NA NA 561 459 NA NA NA
1710108000.0 541.0 56 0 NA NA NA 138 0 NA NA NA 497 433 NA NA NA 541 512 NA NA NA
1710108000.0 545.0 44 0 NA NA NA 136 0 NA NA NA 575 496 NA NA NA 637 561 NA NA NA
1710108000.0 546.0 52 69 NA NA NA 141 170 NA NA NA 603 747 NA NA NA 576 807 NA NA NA
