Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710025200.0 1000.0 NA 377 237 0 106 NA NA NA 507 311 0 162 NA NA NA 2313 673 298 246 NA NA NA 2229 1178 396 315 NA NA
1710025200.0 10002.0 NA 281 545 0 145 153 NA NA 454 796 0 201 230 NA NA 1772 1466 407 322 402 NA NA 892 1455 595 587 458 NA
1710025200.0 10005.0 NA 278 542 0 145 151 NA NA 460 864 0 203 226 NA NA 1812 1643 408 317 428 NA NA 1178 2137 638 721 770 NA
1710025200.0 10008.0 NA 284 541 0 175 148 NA NA 460 873 0 280 230 NA NA 1781 1489 403 376 409 NA NA 1101 2253 563 590 700 NA
1710025200.0 1004.0 NA 268 147 0 0 0 0 NA 386 203 0 0 0 0 NA 834 241 72 94 208 208 NA 1938 693 309 280 276 327
1710025200.0 103.0 114 0 0 NA NA NA NA 194 0 0 NA NA NA NA 539 130 1140 NA NA NA NA 747 452 1785 NA NA NA NA
1710025200.0 10424.0 NA 244 521 0 NA NA NA NA 371 746 0 NA NA NA NA 580 1604 423 NA NA NA NA 858 1926 500 NA NA NA
1710025200.0 106.0 115 0 0 NA NA NA NA 196 0 0 NA NA NA NA 527 129 1138 NA NA NA NA 597 385 1853 NA NA NA NA
1710025200.0 10803.0 NA 272 527 0 146 157 NA NA 442 805 0 207 229 NA NA 1850 1743 436 307 440 NA NA 868 1780 670 386 537 NA
1710025200.0 10804.0 NA 273 536 0 143 157 NA NA 449 872 0 206 234 NA NA 1704 1449 410 311 422 NA NA 792 1545 761 675 488 NA
1710025200.0 10805.0 NA 274 533 0 142 155 NA NA 448 878 0 206 234 NA NA 1698 1471 406 310 436 NA NA 1042 1928 587 662 830 NA
1710025200.0 10805.31 NA 270 537 0 141 154 NA NA 437 830 0 203 230 NA NA 1750 1521 404 307 429 NA NA 1104 3820 561 673 598 NA
1710025200.0 10824.0 NA 283 543 0 177 158 NA NA 461 816 0 288 237 NA NA 1877 1764 451 396 466 NA NA 878 2612 613 515 646 NA
1710025200.0 10824.8 NA 283 554 0 178 159 NA NA 463 802 0 291 233 NA NA 1765 1615 439 389 451 NA NA 859 1483 614 820 797 NA
1710025200.0 10825.0 NA 268 544 0 143 156 NA NA 455 803 0 202 231 NA NA 2263 1588 438 347 473 NA NA 1065 1414 559 685 922 NA
1710025200.0 10826.0 NA 282 549 0 149 158 NA NA 466 809 0 209 238 NA NA 1757 1733 429 317 441 NA NA 899 1830 579 574 568 NA
1710025200.0 10859.0 NA 289 563 0 149 159 NA NA 466 900 0 217 239 NA NA 1782 2274 435 325 456 NA NA 1190 2340 611 652 826 NA
1710025200.0 110.0 125 162 339 NA NA NA NA 198 231 495 NA NA NA NA 605 321 1327 NA NA NA NA 749 596 2191 NA NA NA NA
1710025200.0 111.0 142 164 356 NA NA NA NA 253 232 484 NA NA NA NA 1151 289 1295 NA NA NA NA 1171 454 1505 NA NA NA NA
1710025200.0 112.0 147 166 354 NA NA NA NA 264 234 476 NA NA NA NA 1482 333 1273 NA NA NA NA 1175 388 1317 NA NA NA NA
1710025200.0 11224.0 NA 243 515 0 NA NA NA NA 365 716 0 NA NA NA NA 597 1569 436 NA NA NA NA 812 2148 551 NA NA NA
1710025200.0 11224.6 NA 243 524 0 NA NA NA NA 364 694 0 NA NA NA NA 602 1592 427 NA NA NA NA 1035 2515 553 NA NA NA
1710025200.0 113.0 164 168 353 NA NA NA NA 272 231 487 NA NA NA NA 1448 321 1251 NA NA NA NA 1092 533 1593 NA NA NA NA
1710025200.0 115.0 143 170 348 NA NA NA NA 269 237 476 NA NA NA NA 1902 340 1385 NA NA NA NA 1118 349 1659 NA NA NA NA
1710025200.0 11634.7 NA 393 650 0 NA NA NA NA 542 921 0 NA NA NA NA 1344 2710 592 NA NA NA NA 1175 3277 757 NA NA NA
