Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710108000.0 1005.0 NA 207 159 0 0 NA 351 249 0 0 NA 489 214 88 109 NA 711 336 232 297
1710108000.0 101.0 171 NA NA NA NA 299 NA NA NA NA 717 NA NA NA NA 782 NA NA NA NA
1710108000.0 102.0 169 NA NA NA NA 280 NA NA NA NA 672 NA NA NA NA 711 NA NA NA NA
1710108000.0 103.0 121 0 0 NA NA 202 0 0 NA NA 605 135 1308 NA NA 1426 404 1915 NA NA
1710108000.0 1060.1 NA 153 NA NA NA NA 249 NA NA NA NA 527 NA NA NA NA 536 NA NA NA
1710108000.0 107.0 161 176 352 NA NA 273 249 484 NA NA 1676 348 1537 NA NA 1053 638 1884 NA NA
1710108000.0 108.0 158 178 354 NA NA 275 250 496 NA NA 2086 365 1552 NA NA 1297 687 1636 NA NA
1710108000.0 110.0 128 172 338 NA NA 215 246 486 NA NA 624 327 1456 NA NA 721 636 2018 NA NA
1710108000.0 111.0 135 176 350 NA NA 255 250 490 NA NA 1151 293 1495 NA NA 881 555 2156 NA NA
1710108000.0 112.0 157 174 346 NA NA 265 246 493 NA NA 1453 338 1498 NA NA 973 558 2066 NA NA
1710108000.0 113.0 164 176 351 NA NA 272 253 482 NA NA 1481 352 1508 NA NA 966 617 1699 NA NA
1710108000.0 114.0 162 178 351 NA NA 271 255 496 NA NA 1644 352 1568 NA NA 1321 709 2128 NA NA
1710108000.0 119.0 145 174 347 NA NA 267 247 470 NA NA 1230 330 1512 NA NA 1414 378 2074 NA NA
1710108000.0 122.0 116 0 0 NA NA 202 0 0 NA NA 599 134 1305 NA NA 926 346 1918 NA NA
1710108000.0 123.1 363 NA NA NA NA 541 NA NA NA NA 797 NA NA NA NA 818 NA NA NA NA
1710108000.0 123.2 368 NA NA NA NA 536 NA NA NA NA 895 NA NA NA NA 894 NA NA NA NA
1710108000.0 123.3 313 NA NA NA NA 427 NA NA NA NA 702 NA NA NA NA 871 NA NA NA NA
1710108000.0 124.1 348 NA NA NA NA 496 NA NA NA NA 699 NA NA NA NA 818 NA NA NA NA
1710108000.0 124.2 392 NA NA NA NA 522 NA NA NA NA 758 NA NA NA NA 816 NA NA NA NA
1710108000.0 124.4 344 NA NA NA NA 485 NA NA NA NA 732 NA NA NA NA 920 NA NA NA NA
1710108000.0 124.5 348 NA NA NA NA 489 NA NA NA NA 742 NA NA NA NA 885 NA NA NA NA
1710108000.0 124.6 313 NA NA NA NA 411 NA NA NA NA 710 NA NA NA NA 890 NA NA NA NA
1710108000.0 12434.7 NA 453 614 0 NA NA 586 831 0 NA NA 2359 2731 951 NA NA 1597 2771 1096 NA
1710108000.0 125.0 165 178 352 NA NA 280 251 488 NA NA 1705 357 1519 NA NA 1255 718 1704 NA NA
1710108000.0 126.0 128 173 342 NA NA 216 248 476 NA NA 1016 326 1492 NA NA 1299 623 2137 NA NA
1710108000.0 127.0 125 171 339 NA NA 205 244 472 NA NA 797 328 1452 NA NA 1372 610 1780 NA NA
1710108000.0 129.0 125 172 338 NA NA 202 250 486 NA NA 575 322 1437 NA NA 1042 462 1844 NA NA
1710108000.0 130.0 93 173 339 NA NA 216 247 477 NA NA 589 326 1439 NA NA 575 653 1727 NA NA
