Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1709503200.0 11634.502 280 206 0 873 955 0 420 419 218 479 506 343
1709503200.0 11634.503 279 225 0 871 968 0 422 435 211 495 752 337
1709503200.0 11634.504 270 153 NA 859 905 NA 423 182 NA 808 266 NA
1709503200.0 11634.506 277 206 0 866 942 0 415 404 230 460 788 352
1709503200.0 11634.507 276 243 0 873 964 0 416 439 237 466 653 361
1709503200.0 11634.508 282 181 NA 873 899 NA 415 181 NA 464 254 NA
1709503200.0 11634.512 278 182 0 856 821 0 429 369 163 523 601 241
1709503200.0 11634.513 281 218 0 860 823 0 421 374 174 452 884 279
1709503200.0 11634.514 273 183 NA 859 772 NA 419 179 NA 437 313 NA
1709503200.0 11634.522 275 171 0 854 792 0 428 353 168 494 633 235
1709503200.0 11634.523 273 179 0 856 799 0 419 359 164 537 701 240
1709503200.0 11634.524 277 139 NA 862 741 NA 425 169 NA 452 250 NA
1709503200.0 11634.582 269 281 0 866 1016 0 420 515 252 546 683 376
1709503200.0 11634.583 266 272 0 867 1035 0 422 522 263 529 710 408
1709503200.0 11634.586 276 291 0 859 1010 0 420 510 250 459 754 391
1709503200.0 11634.587 242 306 0 875 1034 0 412 547 251 495 773 385
1709503200.0 11634.592 236 520 0 859 1386 0 406 1757 439 821 2415 616
1709503200.0 11634.593 270 577 0 872 1369 0 415 1835 431 471 2386 584
1709503200.0 11634.596 272 260 0 867 1405 0 411 2969 439 472 4838 609
1709503200.0 11634.597 237 535 0 856 1429 0 407 1767 439 835 2569 600
1709503200.0 11650.502 261 234 0 859 947 0 378 403 199 365 682 272
1709503200.0 11650.503 269 259 0 862 969 0 392 394 225 416 837 374
1709503200.0 11650.504 242 196 NA 854 901 NA 403 185 NA 452 573 NA
1709503200.0 11650.506 275 244 0 848 961 0 409 401 216 512 635 330
1709503200.0 11650.507 271 242 0 860 964 0 408 380 223 458 482 344
1709503200.0 11650.508 276 196 NA 854 901 NA 378 201 NA 339 324 NA
1709503200.0 12434.502 528 228 0 1297 964 0 2070 452 214 1132 533 683
1709503200.0 12434.503 518 277 0 1294 984 0 2114 505 223 1525 711 348
1709503200.0 12434.504 526 201 NA 1298 924 NA 2022 252 NA 965 306 NA
1709503200.0 12434.506 526 226 0 1300 982 0 2068 482 215 1163 893 713
1709503200.0 12434.507 525 236 0 1297 989 0 2100 516 235 1417 917 390
1709503200.0 12434.508 525 229 NA 1331 923 NA 2059 283 NA 1139 411 NA
1709503200.0 12434.512 491 238 0 1310 855 0 2063 443 158 1169 935 237
1709503200.0 12434.513 531 251 0 1305 862 0 2070 444 165 1115 971 276
1709503200.0 12434.514 528 190 NA 1311 799 NA 2034 237 NA 1009 287 NA
1709503200.0 12434.522 523 204 0 1327 826 0 2033 421 161 977 755 213
1709503200.0 12434.523 528 249 0 1292 829 0 2070 452 170 1111 918 612
1709503200.0 12434.524 530 213 NA 1326 781 NA 2036 233 NA 972 274 NA
1709503200.0 12434.582 529 319 0 1310 1041 0 2079 575 261 1134 1002 411
1709503200.0 12434.583 523 291 0 1346 1050 0 2057 631 243 1181 1443 404
1709503200.0 12434.586 525 312 0 1290 1042 0 2079 602 249 1179 970 372
1709503200.0 12434.587 537 328 0 1353 1052 0 2068 573 250 1124 967 384
1709503200.0 12434.592 529 629 0 1303 1481 0 2077 2058 529 1139 2559 686
1709503200.0 12434.593 477 366 0 1295 1464 0 2084 3793 511 1585 4822 700
1709503200.0 12434.596 481 311 0 1297 1453 0 2081 3984 477 1590 4905 535
1709503200.0 12434.597 442 406 0 1326 1444 0 2090 2426 499 1273 4720 626
1709503200.0 12450.502 512 270 0 1318 973 0 2040 459 212 1152 948 325
1709503200.0 12450.503 512 279 0 1315 977 0 2041 466 215 1179 956 332
1709503200.0 12450.504 508 185 NA 1282 934 NA 2005 247 NA 1020 548 NA
1709503200.0 12450.506 512 232 0 1276 957 0 2115 484 207 1336 832 317
1709503200.0 12450.507 511 275 0 1277 986 0 2029 461 227 1145 908 353
1709503200.0 12450.508 511 185 NA 1275 917 NA 2032 260 NA 1092 379 NA
1709503200.0 140.065506 477 231 0 1276 969 0 2704 684 155 1254 920 284
1709503200.0 140.065512 481 246 0 1291 854 0 2705 487 169 1291 825 547
1709503200.0 140.065522 449 249 0 1285 836 0 2683 563 155 1267 932 218
