Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1709503200.0 10824.502 286 167 0 848 834 0 1620 562 198 1164 1327 270
1709503200.0 10824.503 283 167 0 855 852 0 1613 565 212 1516 1306 647
1709503200.0 10824.504 284 111 NA 843 783 NA 1617 351 NA 1183 1018 NA
1709503200.0 10824.506 283 168 0 844 827 0 1614 569 227 1318 1371 350
1709503200.0 10824.507 291 124 0 857 850 0 1629 574 234 1147 1433 700
1709503200.0 10824.508 290 115 NA 849 785 NA 1632 336 NA 1163 675 NA
1709503200.0 10824.512 285 141 0 852 706 0 1591 365 180 1083 887 295
1709503200.0 10824.513 256 132 0 849 708 0 1632 365 183 1143 976 627
1709503200.0 10824.514 292 104 NA 854 663 NA 1585 160 NA 912 233 NA
1709503200.0 10824.522 291 129 0 855 671 0 1573 295 182 912 350 297
1709503200.0 10824.523 286 137 0 852 675 0 1618 340 185 1224 502 678
1709503200.0 10824.524 281 102 NA 847 632 NA 1624 178 NA 1153 294 NA
1709503200.0 10824.582 288 204 0 856 894 0 1625 642 249 1182 1643 428
1709503200.0 10824.583 281 223 0 840 911 0 1622 682 241 1182 1452 338
1709503200.0 10824.586 284 205 0 847 898 0 1642 635 253 1252 1516 385
1709503200.0 10824.587 286 218 0 865 910 0 1607 649 257 1446 1549 389
1709503200.0 10824.592 280 524 0 838 1272 0 1574 1894 403 1023 2537 530
1709503200.0 10824.593 283 534 0 849 1312 0 1591 1914 434 1684 2735 570
1709503200.0 10824.596 284 522 0 857 1260 0 1604 1916 402 1115 2721 487
1709503200.0 10824.597 288 533 0 851 1264 0 1606 1925 419 1395 2879 960
1709503200.0 10842.502 286 166 0 853 832 0 1611 546 211 1118 1285 337
1709503200.0 10842.503 256 128 0 847 853 0 1623 564 199 1187 1351 278
1709503200.0 10842.504 283 109 NA 851 782 NA 1620 339 NA 1164 995 NA
1709503200.0 10842.506 281 134 0 843 830 0 1603 556 201 1175 1438 621
1709503200.0 10842.507 281 174 0 850 852 0 1596 582 223 1164 1334 345
1709503200.0 10842.508 287 108 NA 848 785 NA 1567 345 NA 960 1001 NA
1709503200.0 11634.502 260 170 0 835 843 0 447 420 193 445 648 242
1709503200.0 11634.503 258 173 0 825 862 0 425 435 233 544 676 360
1709503200.0 11634.504 269 119 NA 832 797 NA 410 196 NA 354 320 NA
1709503200.0 11634.506 263 165 0 842 841 0 437 422 208 442 588 280
1709503200.0 11634.507 264 177 0 827 858 0 435 445 217 519 942 602
