Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710108000.0 12434.506 NA 442 186 0 NA NA 1281 892 0 NA NA 2067 521 208 NA NA 1194 640 279 NA
1710108000.0 12434.507 NA 445 199 0 NA NA 1247 915 0 NA NA 2095 532 219 NA NA 1135 1033 296 NA
1710108000.0 12434.508 NA 448 130 NA NA NA 1252 852 NA NA NA 2074 281 NA NA NA 1135 385 NA NA
1710108000.0 12434.512 NA 411 168 0 NA NA 1244 771 0 NA NA 2081 485 176 NA NA 1131 929 612 NA
1710108000.0 12434.513 NA 444 175 0 NA NA 1233 776 0 NA NA 2073 490 166 NA NA 1128 1005 249 NA
1710108000.0 12434.592 NA 439 581 0 NA NA 1240 1369 0 NA NA 2092 2168 517 NA NA 1271 3146 979 NA
1710108000.0 12434.593 NA 439 596 0 NA NA 1259 1392 0 NA NA 2065 2227 550 NA NA 1186 2496 1197 NA
1710108000.0 12434.596 NA 439 546 0 NA NA 1249 1394 0 NA NA 2054 2202 518 NA NA 1254 2615 675 NA
1710108000.0 12434.597 NA 440 555 0 NA NA 1243 1392 0 NA NA 2057 2212 518 NA NA 1105 2620 676 NA
1710108000.0 12450.502 NA 420 188 0 NA NA 1218 894 0 NA NA 2097 495 196 NA NA 2097 978 270 NA
1710108000.0 12450.503 NA 430 195 0 NA NA 1239 921 0 NA NA 2065 505 211 NA NA 1107 960 288 NA
1710108000.0 12450.506 NA 429 185 0 NA NA 1249 893 0 NA NA 2024 495 225 NA NA 1077 1028 342 NA
1710108000.0 12450.507 NA 427 203 0 NA NA 1234 915 0 NA NA 2075 493 214 NA NA 1168 592 292 NA
1710108000.0 12450.508 NA 407 151 NA NA NA 1256 848 NA NA NA 2044 250 NA NA NA 1120 327 NA NA
1710108000.0 160.502 107 307 175 563 142 332 909 263 1515 725 7753 1001 330 5700 404 9458 1205 626 3969 895
