Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1709503200.0 12434.502 NA 451 190 0 NA NA 1257 888 0 NA NA 2066 503 192 NA NA 1152 909 241 NA
1709503200.0 12434.503 NA 453 210 0 NA NA 1246 921 0 NA NA 2065 493 213 NA NA 1085 917 294 NA
1709503200.0 12434.504 NA 462 154 NA NA NA 1256 850 NA NA NA 2020 249 NA NA NA 977 302 NA NA
1709503200.0 12434.506 NA 452 188 0 NA NA 1281 898 0 NA NA 2065 488 216 NA NA 1163 859 652 NA
1709503200.0 12434.507 NA 457 207 0 NA NA 1257 914 0 NA NA 2064 508 217 NA NA 1100 966 326 NA
1709503200.0 12434.508 NA 453 150 NA NA NA 1252 846 NA NA NA 2050 260 NA NA NA 1103 333 NA NA
1709503200.0 12434.512 NA 451 170 0 NA NA 1252 765 0 NA NA 2075 482 168 NA NA 1172 908 243 NA
1709503200.0 12434.513 NA 452 182 0 NA NA 1248 777 0 NA NA 2061 485 166 NA NA 1140 977 241 NA
1709503200.0 12434.514 NA 450 138 NA NA NA 1243 724 NA NA NA 2021 230 NA NA NA 961 280 NA NA
1709503200.0 12434.522 NA 459 166 0 NA NA 1241 740 0 NA NA 2035 483 187 NA NA 1019 915 303 NA
1709503200.0 12434.523 NA 458 177 0 NA NA 1260 746 0 NA NA 2026 486 166 NA NA 1009 964 250 NA
1709503200.0 12434.524 NA 457 138 NA NA NA 1257 695 NA NA NA 2063 230 NA NA NA 1091 276 NA NA
1709503200.0 12434.582 NA 461 247 0 NA NA 1274 972 0 NA NA 2077 581 234 NA NA 1110 926 314 NA
1709503200.0 12434.583 NA 457 255 0 NA NA 1272 980 0 NA NA 2033 615 241 NA NA 1013 995 329 NA
1709503200.0 12434.586 NA 455 242 0 NA NA 1243 971 0 NA NA 2037 599 231 NA NA 1013 959 312 NA
1709503200.0 12434.587 NA 456 255 0 NA NA 1227 988 0 NA NA 2034 598 244 NA NA 1025 943 334 NA
1709503200.0 12434.592 NA 446 584 0 NA NA 1264 1389 0 NA NA 2054 2160 498 NA NA 1125 2691 585 NA
1709503200.0 12434.593 NA 442 591 0 NA NA 1238 1382 0 NA NA 2047 2147 502 NA NA 1089 2764 980 NA
1709503200.0 12434.596 NA 448 574 0 NA NA 1245 1370 0 NA NA 2062 2207 531 NA NA 1177 2779 726 NA
1709503200.0 12434.597 NA 440 562 0 NA NA 1257 1412 0 NA NA 2084 2218 499 NA NA 1336 2878 904 NA
1709503200.0 12450.502 NA 436 195 0 NA NA 1241 882 0 NA NA 2015 481 200 NA NA 1104 1081 312 NA
1709503200.0 12450.503 NA 436 204 0 NA NA 1246 915 0 NA NA 2010 490 232 NA NA 1064 950 366 NA
1709503200.0 12450.504 NA 435 153 NA NA NA 1239 845 NA NA NA 1992 237 NA NA NA 970 302 NA NA
1709503200.0 12450.506 NA 428 193 0 NA NA 1256 889 0 NA NA 2076 527 215 NA NA 1471 1444 712 NA
1709503200.0 12450.507 NA 411 204 0 NA NA 1226 912 0 NA NA 2094 507 200 NA NA 1568 959 249 NA
1709503200.0 12450.508 NA 432 152 NA NA NA 1224 850 NA NA NA 1999 251 NA NA NA 1077 322 NA NA
1709503200.0 141.008506 NA 405 194 0 NA NA 1231 910 0 NA NA 2764 762 156 NA NA 1249 1093 260 NA
1709503200.0 141.008507 NA 411 211 0 NA NA 1208 937 0 NA NA 2779 1051 182 NA NA 1218 1007 668 NA
1709503200.0 141.008508 NA 407 153 NA NA NA 1214 859 NA NA NA 2774 259 NA NA NA 1217 332 NA NA
1709503200.0 141.008512 NA 412 172 0 NA NA 1221 760 0 NA NA 2808 495 168 NA NA 1305 1034 273 NA
1709503200.0 141.008513 NA 403 181 0 NA NA 1226 773 0 NA NA 2794 572 170 NA NA 1289 1052 289 NA
1709503200.0 141.008514 NA 413 140 NA NA NA 1227 726 NA NA NA 2771 240 NA NA NA 1252 334 NA NA
1709503200.0 141.008522 NA 410 174 0 NA NA 1227 744 0 NA NA 2745 506 152 NA NA 1144 662 215 NA
1709503200.0 141.008523 NA 407 174 0 NA NA 1248 746 0 NA NA 2763 580 168 NA NA 1249 567 521 NA
1709503200.0 141.008524 NA 415 140 NA NA NA 1223 701 NA NA NA 2740 243 NA NA NA 1145 299 NA NA
1709503200.0 160.502 131 207 97 431 171 238 784 146 1332 714 976 264 253 1034 366 1384 328 823 2029 526
