Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1710025200.0 1344.0 80 175 198 0 NA 102 206 229 0 NA 5632 398 475 610 NA 7254 520 553 628 NA
1710025200.0 1345.0 79 176 202 0 NA 99 208 230 0 NA 2993 414 492 637 NA 4455 907 542 655 NA
1710025200.0 1348.0 76 176 201 0 NA 95 205 229 0 NA 1220 376 440 644 NA 2652 1252 699 664 NA
1710025200.0 135.1 0 NA NA NA NA 0 NA NA NA NA 273 NA NA NA NA 322 NA NA NA NA
1710025200.0 135.2 0 NA NA NA NA 0 NA NA NA NA 271 NA NA NA NA 323 NA NA NA NA
1710025200.0 135.3 0 NA NA NA NA 0 NA NA NA NA 271 NA NA NA NA 320 NA NA NA NA
1710025200.0 135.4 0 NA NA NA NA 0 NA NA NA NA 276 NA NA NA NA 321 NA NA NA NA
1710025200.0 135.5 0 NA NA NA NA 0 NA NA NA NA 279 NA NA NA NA 324 NA NA NA NA
1710025200.0 135.6 0 NA NA NA NA 0 NA NA NA NA 271 NA NA NA NA 312 NA NA NA NA
1710025200.0 135.7 0 NA NA NA NA 0 NA NA NA NA 271 NA NA NA NA 314 NA NA NA NA
1710025200.0 135.8 148 NA NA NA NA 173 NA NA NA NA 285 NA NA NA NA 334 NA NA NA NA
1710025200.0 1351.0 72 0 0 0 NA 88 0 0 0 NA 410 266 239 596 NA 455 333 300 617 NA
1710025200.0 1352.0 77 178 202 0 NA 97 206 230 0 NA 1947 387 446 636 NA 3397 529 847 654 NA
1710025200.0 1353.0 81 176 202 0 NA 109 207 229 0 NA 7387 403 472 620 NA 9020 479 528 637 NA
1710025200.0 1354.0 80 177 202 0 NA 103 208 229 0 NA 4020 395 473 629 NA 5642 748 587 649 NA
1710025200.0 1355.0 79 179 204 0 NA 99 210 232 0 NA 3759 441 558 624 NA 5367 1096 663 650 NA
1710025200.0 144.6 NA 183 NA NA NA NA 206 NA NA NA NA 1348 NA NA NA NA 1434 NA NA NA
1710025200.0 2.0 71 163 140 NA NA 91 185 170 NA NA 2861 384 440 NA NA 2948 432 490 NA NA
1710025200.0 204.0 70 148 NA NA NA 90 187 NA NA NA 2533 256 NA NA NA 2574 302 NA NA NA
1710025200.0 25203.0 77 154 NA NA NA 97 194 NA NA NA 2136 243 NA NA NA 2206 314 NA NA NA
1710025200.0 25204.0 75 155 NA NA NA 96 194 NA NA NA 2437 247 NA NA NA 2490 321 NA NA NA
1710025200.0 25400.0 0 NA NA NA NA 0 NA NA NA NA 278 NA NA NA NA 343 NA NA NA NA
1710025200.0 25401.0 0 NA NA NA NA 0 NA NA NA NA 285 NA NA NA NA 486 NA NA NA NA
1710025200.0 280.0 94 173 195 0 NA 160 205 223 0 NA 2706 383 463 634 NA 2741 412 492 657 NA
1710025200.0 3.0 74 162 140 NA NA 95 188 170 NA NA 8009 496 583 NA NA 8269 554 614 NA NA
1710025200.0 34.0 70 173 194 0 NA 90 205 221 0 NA 2520 397 509 633 NA 2617 433 561 651 NA
1710025200.0 4.17 NA 121 194 0 105 NA 146 219 0 133 NA 376 2005 380 648 NA 623 2062 505 690
1710025200.0 4.23 NA 183 0 NA NA NA 216 0 NA NA NA 1627 362 NA NA NA 5220 408 NA NA
1710025200.0 4.24 NA 179 0 NA NA NA 208 0 NA NA NA 1780 347 NA NA NA 3339 367 NA NA
1710025200.0 4.25 NA 184 0 NA NA NA 206 0 NA NA NA 1711 331 NA NA NA 2433 356 NA NA
1710025200.0 4.26 NA 185 0 NA NA NA 206 0 NA NA NA 2042 346 NA NA NA 2263 367 NA NA
1710025200.0 4.27 NA 185 0 NA NA NA 207 0 NA NA NA 2104 297 NA NA NA 2212 316 NA NA
1710025200.0 4.28 NA 191 0 NA NA NA 222 0 NA NA NA 1132 473 NA NA NA 1355 518 NA NA
1710025200.0 4.29 NA 123 199 0 107 NA 146 222 0 134 NA 436 2204 413 671 NA 740 2368 429 705
1710025200.0 4.34 NA 200 0 NA NA NA 226 0 NA NA NA 2130 532 NA NA NA 3260 627 NA NA
1710025200.0 4.35 NA 186 0 NA NA NA 210 0 NA NA NA 2814 320 NA NA NA 3794 373 NA NA
1710025200.0 4.36 NA 185 0 NA NA NA 206 0 NA NA NA 2154 321 NA NA NA 2512 541 NA NA
1710025200.0 4.41 NA 124 203 0 NA NA 149 238 0 NA NA 869 4204 399 NA NA 991 4332 418 NA
1710025200.0 4.42 NA 124 210 0 NA NA 151 238 0 NA NA 1001 5049 431 NA NA 1247 5261 465 NA
1710025200.0 4.43 NA 124 203 0 NA NA 147 239 0 NA NA 602 3035 412 NA NA 841 3085 444 NA
1710025200.0 4.44 NA 122 203 0 NA NA 147 239 0 NA NA 787 3873 424 NA NA 908 4602 442 NA
1710025200.0 4.51 NA 123 210 0 NA NA 149 239 0 NA NA 667 4724 420 NA NA 905 5054 478 NA
1710025200.0 4.52 NA 124 211 0 NA NA 151 238 0 NA NA 1226 5994 425 NA NA 1703 6248 443 NA
1710025200.0 4.53 NA 126 210 0 NA NA 152 238 0 NA NA 1224 5290 410 NA NA 1550 5398 427 NA
1710025200.0 4.54 NA 125 215 0 NA NA 149 242 0 NA NA 1123 5495 405 NA NA 1452 5665 480 NA
1710025200.0 4.55 NA 126 211 0 NA NA 153 238 0 NA NA 1507 6059 421 NA NA 1772 6142 443 NA
1710025200.0 4.58 NA 194 0 NA NA NA 233 0 NA NA NA 3256 325 NA NA NA 3718 392 NA NA
1710025200.0 4.6 NA 174 0 NA NA NA 206 0 NA NA NA 1319 195 NA NA NA 3863 248 NA NA
1710025200.0 4.61 NA 126 215 0 NA NA 150 243 0 NA NA 767 5506 420 NA NA 999 5749 458 NA
1710025200.0 4.62 NA 124 210 0 NA NA 151 238 0 NA NA 1110 5452 419 NA NA 1359 5615 447 NA
1710025200.0 4.63 NA 125 209 0 NA NA 151 238 0 NA NA 1329 6026 416 NA NA 1828 6153 434 NA
1710025200.0 4.64 NA 125 211 0 NA NA 150 238 0 NA NA 1201 5813 401 NA NA 1484 5879 419 NA
1710025200.0 4.68 NA 197 0 NA NA NA 232 0 NA NA NA 4610 327 NA NA NA 4707 462 NA NA
1710025200.0 4.72 NA 124 204 0 83 NA 148 238 0 108 NA 1001 4952 413 405 NA 1302 8644 432 622
1710025200.0 4.73 NA 124 209 0 85 NA 152 244 0 112 NA 1259 5769 399 428 NA 1633 5929 415 450
1710025200.0 4.74 NA 125 208 0 84 NA 151 238 0 112 NA 993 4918 404 412 NA 1233 8731 480 628
1710025200.0 4.75 NA 127 209 0 84 NA 151 238 0 109 NA 1224 5290 403 428 NA 1503 5370 421 495
1710025200.0 4.76 NA 195 0 NA NA NA 230 0 NA NA NA 5274 316 NA NA NA 5923 333 NA NA
1710025200.0 4.78 NA 196 0 NA NA NA 233 0 NA NA NA 3711 311 NA NA NA 3875 347 NA NA
1710025200.0 400.0 265 0 NA NA NA 302 0 NA NA NA 1170 96 NA NA NA 1246 109 NA NA NA
1710025200.0 4006.0 53 148 NA NA NA 81 187 NA NA NA 741 258 NA NA NA 763 311 NA NA NA
1710025200.0 4007.0 66 148 NA NA NA 85 187 NA NA NA 442 259 NA NA NA 469 333 NA NA NA
1710025200.0 4008.0 67 148 NA NA NA 86 187 NA NA NA 522 257 NA NA NA 545 307 NA NA NA
1710025200.0 401.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 5.1 230 0 NA NA NA 276 0 NA NA NA 684 84 NA NA NA 756 97 NA NA NA
1710025200.0 5.2 221 0 NA NA NA 259 0 NA NA NA 515 70 NA NA NA 591 87 NA NA NA
1710025200.0 5.3 220 0 NA NA NA 259 0 NA NA NA 527 70 NA NA NA 584 90 NA NA NA
1710025200.0 5.4 233 0 NA NA NA 272 0 NA NA NA 595 76 NA NA NA 644 99 NA NA NA
1710025200.0 5.5 231 0 NA NA NA 272 0 NA NA NA 579 77 NA NA NA 634 95 NA NA NA
1710025200.0 5.6 230 0 NA NA NA 275 0 NA NA NA 677 82 NA NA NA 732 102 NA NA NA
1710025200.0 5.7 231 0 NA NA NA 271 0 NA NA NA 579 75 NA NA NA 640 89 NA NA NA
1710025200.0 50000.0 NA 125 214 NA NA NA 150 243 NA NA NA 770 5519 NA NA NA 952 5720 NA NA
1710025200.0 501.0 37 0 NA NA NA 49 0 NA NA NA 11 10 NA NA NA 21 20 NA NA NA
1710025200.0 502.0 37 0 NA NA NA 49 0 NA NA NA 16 10 NA NA NA 25 19 NA NA NA
1710025200.0 50203.0 77 155 NA NA NA 97 194 NA NA NA 2132 251 NA NA NA 2259 396 NA NA NA
1710025200.0 50204.0 76 144 NA NA NA 96 194 NA NA NA 2397 248 NA NA NA 2478 831 NA NA NA
1710025200.0 503.0 38 0 NA NA NA 51 0 NA NA NA 62 10 NA NA NA 77 26 NA NA NA
1710025200.0 504.0 38 0 NA NA NA 52 0 NA NA NA 36 10 NA NA NA 49 21 NA NA NA
1710025200.0 505.0 38 0 NA NA NA 52 0 NA NA NA 37 10 NA NA NA 50 20 NA NA NA
1710025200.0 506.0 38 0 NA NA NA 51 0 NA NA NA 33 10 NA NA NA 47 19 NA NA NA
1710025200.0 507.0 38 0 NA NA NA 51 0 NA NA NA 60 10 NA NA NA 69 21 NA NA NA
1710025200.0 508.0 38 0 NA NA NA 51 0 NA NA NA 30 9 NA NA NA 42 19 NA NA NA
1710025200.0 509.0 37 0 NA NA NA 51 0 NA NA NA 26 10 NA NA NA 41 20 NA NA NA
1710025200.0 510.0 38 0 NA NA NA 51 0 NA NA NA 106 10 NA NA NA 118 24 NA NA NA
1710025200.0 511.0 38 0 NA NA NA 55 0 NA NA NA 246 10 NA NA NA 261 26 NA NA NA
1710025200.0 512.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 76 NA NA NA NA
1710025200.0 513.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 514.0 38 0 NA NA NA 51 0 NA NA NA 33 10 NA NA NA 44 21 NA NA NA
1710025200.0 515.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 84 NA NA NA NA
1710025200.0 516.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 517.0 38 0 NA NA NA 52 0 NA NA NA 40 10 NA NA NA 71 28 NA NA NA
1710025200.0 518.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 120 NA NA NA NA
1710025200.0 519.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 520.0 38 0 NA NA NA 51 0 NA NA NA 37 10 NA NA NA 50 21 NA NA NA
1710025200.0 522.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 84 NA NA NA NA
1710025200.0 523.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 524.0 38 0 NA NA NA 52 0 NA NA NA 38 10 NA NA NA 52 20 NA NA NA
1710025200.0 525.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 526.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 76 NA NA NA NA
1710025200.0 527.0 38 0 NA NA NA 52 0 NA NA NA 37 10 NA NA NA 50 20 NA NA NA
1710025200.0 528.0 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1710025200.0 529.0 0 NA NA NA NA 0 NA NA NA NA 8 NA NA NA NA 76 NA NA NA NA
1710025200.0 530.0 38 0 NA NA NA 52 0 NA NA NA 40 10 NA NA NA 53 20 NA NA NA
1710025200.0 531.0 63 0 NA NA NA 162 0 NA NA NA 33 10 NA NA NA 46 21 NA NA NA
1710025200.0 541.0 47 0 NA NA NA 62 0 NA NA NA 51 10 NA NA NA 66 26 NA NA NA
1710025200.0 542.0 47 0 NA NA NA 62 0 NA NA NA 48 10 NA NA NA 59 21 NA NA NA
1710025200.0 544.0 47 0 NA NA NA 62 0 NA NA NA 48 10 NA NA NA 58 20 NA NA NA
1710025200.0 545.0 47 0 NA NA NA 62 0 NA NA NA 47 10 NA NA NA 59 21 NA NA NA
1710025200.0 7.0 61 0 0 0 0 74 0 0 0 0 346 273 161 62 284 363 323 191 74 303
