Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1710108000.0 1312.0 NA 226 401 0 NA NA NA NA 316 547 0 NA NA NA NA 333 1487 624 NA NA NA NA 379 1959 676 NA NA NA
1710108000.0 1313.0 NA 229 411 0 NA NA NA NA 313 562 0 NA NA NA NA 294 1666 490 NA NA NA NA 576 1780 590 NA NA NA
1710108000.0 1315.0 NA 218 387 0 NA NA NA NA 309 516 0 NA NA NA NA 313 1366 373 NA NA NA NA 640 1869 545 NA NA NA
1710108000.0 132.0 152 179 355 NA NA NA NA 263 249 480 NA NA NA NA 1662 316 1456 NA NA NA NA 958 426 2051 NA NA NA NA
1710108000.0 1323.0 NA 200 384 0 NA NA NA NA 306 528 0 NA NA NA NA 311 1352 325 NA NA NA NA 572 1908 508 NA NA NA
1710108000.0 1324.0 NA 227 399 0 NA NA NA NA 315 555 0 NA NA NA NA 333 1466 604 NA NA NA NA 373 1669 781 NA NA NA
1710108000.0 1325.1 NA 229 241 0 NA NA NA NA 309 357 0 NA NA NA NA 350 587 752 NA NA NA NA 745 1016 875 NA NA NA
1710108000.0 1325.3 NA 228 234 0 NA NA NA NA 318 357 0 NA NA NA NA 345 523 734 NA NA NA NA 682 592 781 NA NA NA
1710108000.0 1325.4 NA 230 398 0 NA NA NA NA 320 546 0 NA NA NA NA 333 1491 538 NA NA NA NA 369 1630 650 NA NA NA
1710108000.0 1325.516 NA 243 0 NA NA NA NA NA 324 0 NA NA NA NA NA 1540 153 NA NA NA NA NA 1155 238 NA NA NA NA
1710108000.0 1326.0 NA 224 398 0 NA NA NA NA 308 560 0 NA NA NA NA 322 1425 481 NA NA NA NA 406 2008 640 NA NA NA
1710108000.0 1333.0 NA 222 392 0 NA NA NA NA 309 520 0 NA NA NA NA 320 1391 477 NA NA NA NA 457 1890 556 NA NA NA
1710108000.0 1336.0 NA 230 408 0 NA NA NA NA 319 563 0 NA NA NA NA 361 2044 561 NA NA NA NA 563 2037 667 NA NA NA
1710108000.0 1339.0 NA 230 409 0 NA NA NA NA 321 566 0 NA NA NA NA 351 1717 479 NA NA NA NA 445 2012 554 NA NA NA
1710108000.0 134.0 NA 364 80 0 NA NA NA NA 507 135 0 NA NA NA NA 2504 137 72 NA NA NA NA 2318 317 191 NA NA NA
1710108000.0 1340.0 NA 222 395 0 NA NA NA NA 314 533 0 NA NA NA NA 320 1398 486 NA NA NA NA 618 1880 626 NA NA NA
1710108000.0 135.12 419 0 180 151 NA NA NA 572 0 267 234 NA NA NA 764 340 572 353 NA NA NA 725 603 941 725 NA NA NA
1710108000.0 135.13 421 0 NA NA NA NA NA 549 0 NA NA NA NA NA 820 619 NA NA NA NA NA 976 747 NA NA NA NA NA
1710108000.0 135.14 421 0 192 157 NA NA NA 546 0 268 231 NA NA NA 834 410 557 351 NA NA NA 1625 544 679 605 NA NA NA
1710108000.0 135.2 339 0 183 150 NA NA NA 459 0 266 229 NA NA NA 693 395 523 331 NA NA NA 905 507 736 523 NA NA NA
1710108000.0 135.3 345 0 165 151 NA NA NA 468 0 270 230 NA NA NA 690 386 542 327 NA NA NA 807 547 849 474 NA NA NA
1710108000.0 135.4 418 0 190 155 NA NA NA 567 0 268 234 NA NA NA 773 373 561 348 NA NA NA 1015 637 964 594 NA NA NA
1710108000.0 135.5 413 0 152 154 NA NA NA 550 0 274 231 NA NA NA 755 364 553 336 NA NA NA 879 561 893 545 NA NA NA
1710108000.0 135.8 172 NA NA NA NA NA NA 277 NA NA NA NA NA NA 605 NA NA NA NA NA NA 410 NA NA NA NA NA NA
1710108000.0 135.9 393 0 186 153 NA NA NA 561 0 266 230 NA NA NA 743 445 530 330 NA NA NA 1169 653 762 522 NA NA NA
1710108000.0 1356.0 160 220 436 0 209 NA NA 253 304 601 0 289 NA NA 1510 327 1461 514 547 NA NA 1016 506 1703 943 623 NA NA
1710108000.0 136.733 NA 248 123 0 NA NA NA NA 388 189 0 NA NA NA NA 812 233 206 NA NA NA NA 837 387 340 NA NA NA
1710108000.0 136.8311 NA 231 0 NA NA NA NA NA 336 0 NA NA NA NA NA 1704 156 NA NA NA NA NA 1212 299 NA NA NA NA
1710108000.0 136.9 NA 253 221 309 205 NA NA NA 366 341 472 277 NA NA NA 6445 979 1277 796 NA NA NA 7201 1160 1519 1009 NA NA
1710108000.0 1360.0 146 209 397 0 NA NA NA 239 288 558 0 NA NA NA 2064 255 1404 493 NA NA NA 1304 359 1915 548 NA NA NA
1710108000.0 1365.0 NA 227 400 0 NA NA NA NA 305 548 0 NA NA NA NA 342 1426 587 NA NA NA NA 735 1654 774 NA NA NA
1710108000.0 1366.0 NA 223 401 0 NA NA NA NA 308 548 0 NA NA NA NA 330 1404 589 NA NA NA NA 579 1856 651 NA NA NA
1710108000.0 138.2 NA 304 149 0 NA NA NA NA 467 237 0 NA NA NA NA 893 233 264 NA NA NA NA 691 340 422 NA NA NA
1710108000.0 138.4 NA 392 0 NA NA NA NA NA 590 0 NA NA NA NA NA 1243 353 NA NA NA NA NA 1029 514 NA NA NA NA
