Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1709935200.0 12434.402 NA 320 178 0 NA NA 915 929 0 NA NA 1192 488 311 NA NA 517 747 493 NA
1709935200.0 12434.403 NA 324 184 0 NA NA 913 947 0 NA NA 1397 507 276 NA NA 602 763 427 NA
1709935200.0 12434.404 NA 324 133 NA NA NA 923 879 NA NA NA 1180 197 NA NA NA 511 324 NA NA
1709935200.0 12434.412 NA 321 156 0 NA NA 919 779 0 NA NA 1202 371 211 NA NA 566 557 343 NA
1709935200.0 12434.502 NA 326 180 0 NA NA 911 922 0 NA NA 1208 463 234 NA NA 552 697 349 NA
1709935200.0 12434.503 NA 325 188 0 NA NA 920 943 0 NA NA 1185 408 256 NA NA 513 587 386 NA
1709935200.0 12434.504 NA 326 129 NA NA NA 905 877 NA NA NA 1194 200 NA NA NA 530 327 NA NA
1709935200.0 12434.506 NA 327 179 0 NA NA 916 922 0 NA NA 1199 394 244 NA NA 539 555 360 NA
1709935200.0 12434.507 NA 325 190 0 NA NA 923 949 0 NA NA 1175 431 291 NA NA 501 623 456 NA
1709935200.0 12434.508 NA 325 133 NA NA NA 911 876 NA NA NA 1201 199 NA NA NA 552 324 NA NA
1709935200.0 12434.512 NA 323 150 0 NA NA 914 739 0 NA NA 1207 382 223 NA NA 565 571 380 NA
1709935200.0 12434.513 NA 323 151 0 NA NA 910 745 0 NA NA 1229 385 267 NA NA 600 565 459 NA
1709935200.0 12434.514 NA 324 117 NA NA NA 905 690 NA NA NA 1194 184 NA NA NA 527 295 NA NA
1709935200.0 12434.522 NA 322 145 0 NA NA 915 713 0 NA NA 1195 468 252 NA NA 524 706 431 NA
1709935200.0 12434.523 NA 325 148 0 NA NA 915 709 0 NA NA 1201 418 191 NA NA 534 614 311 NA
1709935200.0 12434.524 NA 326 112 NA NA NA 919 663 NA NA NA 1219 201 NA NA NA 558 315 NA NA
1709935200.0 12434.582 NA 322 229 0 NA NA 916 1007 0 NA NA 1209 487 268 NA NA 573 668 399 NA
1709935200.0 12434.583 NA 325 245 0 NA NA 912 1023 0 NA NA 1181 475 290 NA NA 504 604 429 NA
1709935200.0 12434.586 NA 324 230 0 NA NA 910 1008 0 NA NA 1205 542 271 NA NA 565 750 398 NA
1709935200.0 12434.587 NA 327 240 0 NA NA 910 1029 0 NA NA 1220 566 271 NA NA 569 779 406 NA
1709935200.0 12434.592 NA 327 538 0 NA NA 915 1400 0 NA NA 1184 1518 421 NA NA 517 1624 568 NA
1709935200.0 12434.593 NA 324 554 0 NA NA 915 1419 0 NA NA 1202 1560 413 NA NA 636 1671 567 NA
1709935200.0 12434.596 NA 301 573 0 NA NA 908 1384 0 NA NA 1233 1562 483 NA NA 597 1606 661 NA
1709935200.0 12434.597 NA 326 557 0 NA NA 917 1449 0 NA NA 1183 1582 403 NA NA 531 1715 518 NA
1709935200.0 12450.402 NA 323 177 0 NA NA 907 922 0 NA NA 1192 488 232 NA NA 545 766 351 NA
1709935200.0 12450.403 NA 323 182 0 NA NA 913 944 0 NA NA 1218 407 231 NA NA 557 581 347 NA
1709935200.0 12450.404 NA 321 130 NA NA NA 907 877 NA NA NA 1179 220 NA NA NA 536 357 NA NA
1709935200.0 12450.502 NA 322 178 0 NA NA 907 921 0 NA NA 1237 428 242 NA NA 607 628 366 NA
1709935200.0 12450.503 NA 321 189 0 NA NA 916 940 0 NA NA 1167 493 273 NA NA 514 737 418 NA
1709935200.0 12450.504 NA 324 129 NA NA NA 911 873 NA NA NA 1189 211 NA NA NA 533 342 NA NA
1709935200.0 12450.506 NA 320 179 0 NA NA 904 928 0 NA NA 1204 404 266 NA NA 572 592 410 NA
1709935200.0 12450.507 NA 322 192 0 NA NA 920 939 0 NA NA 1203 377 258 NA NA 561 540 380 NA
1709935200.0 12450.508 NA 322 130 NA NA NA 910 876 NA NA NA 1187 219 NA NA NA 550 354 NA NA
1709935200.0 12461.402 NA 312 172 0 NA NA 895 771 0 NA NA 1212 447 267 NA NA 593 688 432 NA
1709935200.0 12461.502 NA 313 172 0 NA NA 901 776 0 NA NA 1165 347 201 NA NA 537 510 313 NA
1709935200.0 12634.402 NA 629 236 0 NA NA 1395 1011 0 NA NA 3090 530 279 NA NA 1216 701 426 NA
1709935200.0 12634.403 NA 672 249 0 NA NA 1406 1025 0 NA NA 3201 577 235 NA NA 1290 730 354 NA
1709935200.0 12634.404 NA 675 134 NA NA NA 1428 883 NA NA NA 3301 216 NA NA NA 1346 346 NA NA
1709935200.0 12634.412 NA 674 477 0 NA NA 1424 1160 0 NA NA 3153 903 193 NA NA 1316 1021 315 NA
1709935200.0 12650.402 NA 692 246 0 NA NA 1386 1034 0 NA NA 3074 471 263 NA NA 1270 598 401 NA
1709935200.0 12650.403 NA 654 252 0 NA NA 1373 1035 0 NA NA 3008 495 255 NA NA 1228 591 375 NA
1709935200.0 12650.404 NA 640 133 NA NA NA 1365 882 NA NA NA 3088 228 NA NA NA 1215 358 NA NA
1709935200.0 12661.402 NA 669 225 0 NA NA 1355 1009 0 NA NA 3024 519 253 NA NA 1216 711 387 NA
1709935200.0 141.008506 NA 432 207 0 NA NA 1239 955 0 NA NA 1974 791 193 NA NA 930 741 314 NA
1709935200.0 141.008507 NA 436 221 0 NA NA 1250 979 0 NA NA 2080 1049 219 NA NA 1069 883 351 NA
1709935200.0 141.008508 NA 437 163 NA NA NA 1261 909 NA NA NA 1959 294 NA NA NA 916 428 NA NA
1709935200.0 141.008512 NA 439 180 0 NA NA 1270 769 0 NA NA 2074 467 195 NA NA 1041 570 322 NA
1709935200.0 141.008513 NA 438 181 0 NA NA 1286 764 0 NA NA 1978 566 218 NA NA 994 668 348 NA
1709935200.0 141.008514 NA 436 147 NA NA NA 1274 729 NA NA NA 1988 339 NA NA NA 945 520 NA NA
1709935200.0 141.008522 NA 433 186 0 NA NA 1275 743 0 NA NA 1991 505 235 NA NA 1014 606 393 NA
1709935200.0 141.008523 NA 435 186 0 NA NA 1268 750 0 NA NA 2031 609 206 NA NA 1003 685 339 NA
1709935200.0 141.008524 NA 431 146 NA NA NA 1258 699 NA NA NA 2052 303 NA NA NA 1058 432 NA NA
1709935200.0 141.008583 NA 240 0 NA NA NA 1027 0 NA NA NA 959 278 NA NA NA 751 449 NA NA
1709935200.0 160.03502 138 218 68 470 184 226 305 158 1376 258 710 210 495 910 334 952 250 947 1078 443
1709935200.0 24861.502 NA 611 242 0 NA NA 1273 1119 0 NA NA 1355 1057 187 NA NA 1472 1610 304 NA
